company_id,row_type,employeesTrend_year,employeesTrend_value
71,employeesTrend,2021,3
71,employeesTrend,2022,3
71,employeesTrend,2023,3
71,employeesTrend,2024,
71,employeesTrend,2025,
71,employeesTrend,,3
72,employeesTrend,2019,1
72,employeesTrend,2020,
72,employeesTrend,2021,
72,employeesTrend,2022,
72,employeesTrend,2023,
72,employeesTrend,2024,
72,employeesTrend,2025,
72,employeesTrend,,1
73,employeesTrend,2020,3
73,employeesTrend,2021,
73,employeesTrend,2022,3
73,employeesTrend,2023,4
73,employeesTrend,2024,4
73,employeesTrend,2025,
73,employeesTrend,,4
74,employeesTrend,2019,54
74,employeesTrend,2020,64
74,employeesTrend,2021,86
74,employeesTrend,2022,110
74,employeesTrend,2023,98
74,employeesTrend,2024,95
74,employeesTrend,2025,
74,employeesTrend,,95
75,employeesTrend,2023,3
75,employeesTrend,2024,
75,employeesTrend,2025,
75,employeesTrend,,3
76,employeesTrend,2020,5
76,employeesTrend,2021,
76,employeesTrend,2022,
76,employeesTrend,2023,
76,employeesTrend,2024,
76,employeesTrend,2025,
76,employeesTrend,,5
77,employeesTrend,2019,13
77,employeesTrend,2020,20
77,employeesTrend,2021,16
77,employeesTrend,2022,
77,employeesTrend,2023,14
77,employeesTrend,2024,15
77,employeesTrend,2025,
77,employeesTrend,,15
78,employeesTrend,2018,43
78,employeesTrend,2019,44
78,employeesTrend,2020,47
78,employeesTrend,2021,44
78,employeesTrend,2022,51
78,employeesTrend,2023,52
78,employeesTrend,2024,56
78,employeesTrend,2025,
78,employeesTrend,,56
79,employeesTrend,2018,
79,employeesTrend,2019,6
79,employeesTrend,2020,5
79,employeesTrend,2021,
79,employeesTrend,2022,
79,employeesTrend,2023,5
79,employeesTrend,2024,5
79,employeesTrend,2025,
79,employeesTrend,,5
80,employeesTrend,2019,5
80,employeesTrend,2020,7
80,employeesTrend,2021,9
80,employeesTrend,2022,11
80,employeesTrend,2023,9
80,employeesTrend,2024,8
80,employeesTrend,2025,
80,employeesTrend,,8
81,employeesTrend,2018,2
81,employeesTrend,2019,3
81,employeesTrend,2020,4
81,employeesTrend,2021,3
81,employeesTrend,2022,
81,employeesTrend,2023,
81,employeesTrend,2024,5
81,employeesTrend,2025,
81,employeesTrend,,5
82,employeesTrend,2019,25
82,employeesTrend,2020,62
82,employeesTrend,2021,
82,employeesTrend,2022,72
82,employeesTrend,2023,82
82,employeesTrend,2024,70
82,employeesTrend,2025,
82,employeesTrend,,70
83,employeesTrend,2017,
83,employeesTrend,2018,6
83,employeesTrend,2019,
83,employeesTrend,2020,9
83,employeesTrend,2021,
83,employeesTrend,2022,14
83,employeesTrend,2023,13
83,employeesTrend,2024,9
83,employeesTrend,2025,
83,employeesTrend,,9
84,employeesTrend,2015,
84,employeesTrend,2016,
84,employeesTrend,2017,
84,employeesTrend,2018,
84,employeesTrend,2019,4
84,employeesTrend,2020,3
84,employeesTrend,2021,6
84,employeesTrend,2022,6
84,employeesTrend,2023,7
84,employeesTrend,2024,10
84,employeesTrend,2025,
84,employeesTrend,,10
85,employeesTrend,2020,8
85,employeesTrend,2021,36
85,employeesTrend,2022,145
85,employeesTrend,2023,216
85,employeesTrend,2024,236
85,employeesTrend,2025,
85,employeesTrend,,236
86,employeesTrend,2023,5
86,employeesTrend,2024,
86,employeesTrend,2025,
86,employeesTrend,,5
87,employeesTrend,2018,5
87,employeesTrend,2019,5
87,employeesTrend,2020,5
87,employeesTrend,2021,5
87,employeesTrend,2022,5
87,employeesTrend,2023,6
87,employeesTrend,2024,4
87,employeesTrend,2025,
87,employeesTrend,,4
88,employeesTrend,2018,27
88,employeesTrend,2019,27
88,employeesTrend,2020,27
88,employeesTrend,2021,
88,employeesTrend,2022,27
88,employeesTrend,2023,27
88,employeesTrend,2024,41
88,employeesTrend,2025,
88,employeesTrend,,41
89,employeesTrend,2018,2
89,employeesTrend,2019,2
89,employeesTrend,2020,2
89,employeesTrend,2021,2
89,employeesTrend,2022,
89,employeesTrend,2023,1
89,employeesTrend,2024,1
89,employeesTrend,2025,
89,employeesTrend,,1
90,employeesTrend,2021,16
90,employeesTrend,2022,44
90,employeesTrend,2023,90
90,employeesTrend,2024,82
90,employeesTrend,2025,
90,employeesTrend,,82
91,employeesTrend,2024,1
91,employeesTrend,2025,
91,employeesTrend,,1
92,employeesTrend,2022,6
92,employeesTrend,2023,
92,employeesTrend,2024,
92,employeesTrend,2025,
92,employeesTrend,,6
93,employeesTrend,2023,2
93,employeesTrend,2024,8
93,employeesTrend,2025,
93,employeesTrend,,8
94,employeesTrend,2020,3
94,employeesTrend,2021,4
94,employeesTrend,2022,4
94,employeesTrend,2023,7
94,employeesTrend,2024,9
94,employeesTrend,2025,
94,employeesTrend,,9
95,employeesTrend,2018,25
95,employeesTrend,2019,52
95,employeesTrend,2020,
95,employeesTrend,2021,87
95,employeesTrend,2022,154
95,employeesTrend,2023,263
95,employeesTrend,2024,287
95,employeesTrend,2025,
95,employeesTrend,,287
96,employeesTrend,2016,
96,employeesTrend,2017,
96,employeesTrend,2018,
96,employeesTrend,2019,10
96,employeesTrend,2020,15
96,employeesTrend,2021,14
96,employeesTrend,2022,
96,employeesTrend,2023,23
96,employeesTrend,2024,21
96,employeesTrend,2025,
96,employeesTrend,,21
97,employeesTrend,2024,8
97,employeesTrend,2025,
97,employeesTrend,,8
98,employeesTrend,2019,6
98,employeesTrend,2020,10
98,employeesTrend,2021,12
98,employeesTrend,2022,21
98,employeesTrend,2023,28
98,employeesTrend,2024,36
98,employeesTrend,2025,
98,employeesTrend,,36
99,employeesTrend,2020,3
99,employeesTrend,2021,
99,employeesTrend,2022,3
99,employeesTrend,2023,5
99,employeesTrend,2024,11
99,employeesTrend,2025,
99,employeesTrend,,11
100,employeesTrend,2018,18
100,employeesTrend,2019,19
100,employeesTrend,2020,13
100,employeesTrend,2021,
100,employeesTrend,2022,
100,employeesTrend,2023,16
100,employeesTrend,2024,16
100,employeesTrend,2025,
100,employeesTrend,,16
101,employeesTrend,2024,7
101,employeesTrend,2025,
101,employeesTrend,,7
102,employeesTrend,2024,4
102,employeesTrend,2025,
102,employeesTrend,,4
103,employeesTrend,2011,
103,employeesTrend,2012,
103,employeesTrend,2013,
103,employeesTrend,2014,
103,employeesTrend,2015,
103,employeesTrend,2016,
103,employeesTrend,2017,51
103,employeesTrend,2018,68
103,employeesTrend,2019,73
103,employeesTrend,2020,86
103,employeesTrend,2021,68
103,employeesTrend,2022,67
103,employeesTrend,2023,66
103,employeesTrend,2024,67
103,employeesTrend,2025,
103,employeesTrend,,67
104,employeesTrend,2021,8
104,employeesTrend,2022,6
104,employeesTrend,2023,11
104,employeesTrend,2024,15
104,employeesTrend,2025,
104,employeesTrend,,15
105,employeesTrend,2012,
105,employeesTrend,2013,
105,employeesTrend,2014,
105,employeesTrend,2015,
105,employeesTrend,2016,
105,employeesTrend,2017,
105,employeesTrend,2018,47
105,employeesTrend,2019,56
105,employeesTrend,2020,64
105,employeesTrend,2021,
105,employeesTrend,2022,96
105,employeesTrend,2023,100
105,employeesTrend,2024,465
105,employeesTrend,2025,
105,employeesTrend,,465
106,employeesTrend,2018,33
106,employeesTrend,2019,52
106,employeesTrend,2020,58
106,employeesTrend,2021,61
106,employeesTrend,2022,63
106,employeesTrend,2023,62
106,employeesTrend,2024,71
106,employeesTrend,2025,
106,employeesTrend,,71
107,employeesTrend,2013,
107,employeesTrend,2014,
107,employeesTrend,2015,
107,employeesTrend,2016,
107,employeesTrend,2017,
107,employeesTrend,2018,2
107,employeesTrend,2019,2
107,employeesTrend,2020,2
107,employeesTrend,2021,1
107,employeesTrend,2022,
107,employeesTrend,2023,1
107,employeesTrend,2024,1
107,employeesTrend,2025,
107,employeesTrend,,1
108,employeesTrend,2009,
108,employeesTrend,2010,
108,employeesTrend,2011,
108,employeesTrend,2012,
108,employeesTrend,2013,
108,employeesTrend,2014,
108,employeesTrend,2015,
108,employeesTrend,2016,12
108,employeesTrend,2017,11
108,employeesTrend,2018,12
108,employeesTrend,2019,12
108,employeesTrend,2020,12
108,employeesTrend,2021,12
108,employeesTrend,2022,12
108,employeesTrend,2023,12
108,employeesTrend,2024,8
108,employeesTrend,2025,
108,employeesTrend,,8
109,employeesTrend,2023,1
109,employeesTrend,2024,1
109,employeesTrend,2025,
109,employeesTrend,,1
110,employeesTrend,2019,2
110,employeesTrend,2020,5
110,employeesTrend,2021,8
110,employeesTrend,2022,15
110,employeesTrend,2023,14
110,employeesTrend,2024,13
110,employeesTrend,2025,
110,employeesTrend,,13
111,employeesTrend,2023,10
111,employeesTrend,2024,10
111,employeesTrend,2025,
111,employeesTrend,,10
112,employeesTrend,2019,11
112,employeesTrend,2020,14
112,employeesTrend,2021,
112,employeesTrend,2022,
112,employeesTrend,2023,20
112,employeesTrend,2024,18
112,employeesTrend,2025,
112,employeesTrend,,18
113,employeesTrend,2024,17
113,employeesTrend,2025,
113,employeesTrend,,17
114,employeesTrend,2019,2
114,employeesTrend,2020,2
114,employeesTrend,2021,3
114,employeesTrend,2022,
114,employeesTrend,2023,9
114,employeesTrend,2024,7
114,employeesTrend,2025,
114,employeesTrend,,7
115,employeesTrend,2017,
115,employeesTrend,2018,5
115,employeesTrend,2019,5
115,employeesTrend,2020,5
115,employeesTrend,2021,
115,employeesTrend,2022,
115,employeesTrend,2023,18
115,employeesTrend,2024,18
115,employeesTrend,2025,
115,employeesTrend,,18
116,employeesTrend,2022,13
116,employeesTrend,2023,
116,employeesTrend,2024,
116,employeesTrend,2025,
116,employeesTrend,,13
117,employeesTrend,2018,3
117,employeesTrend,2019,3
117,employeesTrend,2020,3
117,employeesTrend,2021,4
117,employeesTrend,2022,4
117,employeesTrend,2023,4
117,employeesTrend,2024,5
117,employeesTrend,2025,
117,employeesTrend,,5
118,employeesTrend,2020,11
118,employeesTrend,2021,21
118,employeesTrend,2022,
118,employeesTrend,2023,30
118,employeesTrend,2024,22
118,employeesTrend,2025,
118,employeesTrend,,22
119,employeesTrend,2018,4
119,employeesTrend,2019,4
119,employeesTrend,2020,3
119,employeesTrend,2021,
119,employeesTrend,2022,2
119,employeesTrend,2023,
119,employeesTrend,2024,
119,employeesTrend,2025,
119,employeesTrend,,2
120,employeesTrend,2016,6
120,employeesTrend,2017,
120,employeesTrend,2018,
120,employeesTrend,2019,21
120,employeesTrend,2020,16
120,employeesTrend,2021,
120,employeesTrend,2022,
120,employeesTrend,2023,22
120,employeesTrend,2024,17
120,employeesTrend,2025,
120,employeesTrend,,17
121,employeesTrend,2023,3
121,employeesTrend,2024,2
121,employeesTrend,2025,
121,employeesTrend,,2
122,employeesTrend,2019,35
122,employeesTrend,2020,32
122,employeesTrend,2021,32
122,employeesTrend,2022,23
122,employeesTrend,2023,29
122,employeesTrend,2024,29
122,employeesTrend,2025,
122,employeesTrend,,29
