company_id,row_type,cumulativeFunding_year,cumulativeFunding_value
40,cumulativeFunding,2017,30600000
40,cumulativeFunding,2018,30600000
40,cumulativeFunding,2019,30600000
40,cumulativeFunding,2020,43990000
40,cumulativeFunding,2021,43990000
40,cumulativeFunding,2022,58990000
40,cumulativeFunding,2023,58990000
40,cumulativeFunding,2024,73990000
40,cumulativeFunding,2025,73990000
40,cumulativeFunding,,73990000
43,cumulativeFunding,2017,50000
43,cumulativeFunding,2018,50000
43,cumulativeFunding,2019,50000
43,cumulativeFunding,2020,50000
43,cumulativeFunding,2021,50000
43,cumulativeFunding,2022,50000
43,cumulativeFunding,2023,50000
43,cumulativeFunding,2024,50000
43,cumulativeFunding,2025,50000
43,cumulativeFunding,,50000
44,cumulativeFunding,2019,
44,cumulativeFunding,2020,2300000
44,cumulativeFunding,2021,2300000
44,cumulativeFunding,2022,2300000
44,cumulativeFunding,2023,3050000
44,cumulativeFunding,2024,3050000
44,cumulativeFunding,2025,3050000
44,cumulativeFunding,,3050000
46,cumulativeFunding,2020,27000
46,cumulativeFunding,2021,64000
46,cumulativeFunding,2022,114000
46,cumulativeFunding,2023,1389000
46,cumulativeFunding,2024,1389000
46,cumulativeFunding,2025,1389000
46,cumulativeFunding,,1389000
48,cumulativeFunding,2017,970000
48,cumulativeFunding,2018,970000
48,cumulativeFunding,2019,1670000
48,cumulativeFunding,2020,8820000
48,cumulativeFunding,2021,13820000
48,cumulativeFunding,2022,13820000
48,cumulativeFunding,2023,22820000
48,cumulativeFunding,2024,22820000
48,cumulativeFunding,2025,22820000
48,cumulativeFunding,,22820000
49,cumulativeFunding,2012,750000
49,cumulativeFunding,2013,750000
49,cumulativeFunding,2014,750000
49,cumulativeFunding,2015,750000
49,cumulativeFunding,2016,1250000
49,cumulativeFunding,2017,1250000
50,cumulativeFunding,2020,
50,cumulativeFunding,2021,714300
50,cumulativeFunding,2022,714300
50,cumulativeFunding,2023,714300
50,cumulativeFunding,2024,714300
50,cumulativeFunding,2025,714300
50,cumulativeFunding,,714300
49,cumulativeFunding,2018,1250000
49,cumulativeFunding,2019,1250000
49,cumulativeFunding,2020,1250000
49,cumulativeFunding,2021,1250000
49,cumulativeFunding,2022,1250000
49,cumulativeFunding,2023,1250000
49,cumulativeFunding,2024,1250000
49,cumulativeFunding,2025,1250000
49,cumulativeFunding,,1250000
52,cumulativeFunding,2018,500000
52,cumulativeFunding,2019,557000
52,cumulativeFunding,2020,557000
52,cumulativeFunding,2021,557000
52,cumulativeFunding,2022,557000
52,cumulativeFunding,2023,557000
52,cumulativeFunding,2024,557000
52,cumulativeFunding,2025,557000
52,cumulativeFunding,,557000
54,cumulativeFunding,2017,1825000
54,cumulativeFunding,2018,2635000
54,cumulativeFunding,2019,2635000
54,cumulativeFunding,2020,3635000
54,cumulativeFunding,2021,3635000
54,cumulativeFunding,2022,3635000
54,cumulativeFunding,2023,3635000
54,cumulativeFunding,2024,3635000
54,cumulativeFunding,2025,3635000
54,cumulativeFunding,,3635000
58,cumulativeFunding,2018,580000
58,cumulativeFunding,2019,580000
58,cumulativeFunding,2020,5080000
58,cumulativeFunding,2021,5080000
58,cumulativeFunding,2022,5080000
58,cumulativeFunding,2023,5080000
58,cumulativeFunding,2024,5080000
58,cumulativeFunding,2025,5080000
58,cumulativeFunding,,5080000
60,cumulativeFunding,2018,250000
60,cumulativeFunding,2019,11200000
60,cumulativeFunding,2020,11200000
60,cumulativeFunding,2021,11200000
60,cumulativeFunding,2022,11200000
60,cumulativeFunding,2023,11200000
60,cumulativeFunding,2024,21200000
60,cumulativeFunding,2025,21200000
60,cumulativeFunding,,21200000
61,cumulativeFunding,2014,2000000
61,cumulativeFunding,2015,9000000
61,cumulativeFunding,2016,9000000
61,cumulativeFunding,2017,26000000
61,cumulativeFunding,2018,26000000
61,cumulativeFunding,2019,59000000
61,cumulativeFunding,2020,114000000
61,cumulativeFunding,2021,294000000
61,cumulativeFunding,2022,294000000
61,cumulativeFunding,2023,294000000
61,cumulativeFunding,2024,294000000
61,cumulativeFunding,2025,294000000
61,cumulativeFunding,,294000000
62,cumulativeFunding,2017,6700000
62,cumulativeFunding,2018,14300000
62,cumulativeFunding,2019,24300000
62,cumulativeFunding,2020,24300000
62,cumulativeFunding,2021,24300000
62,cumulativeFunding,2022,24300004
62,cumulativeFunding,2023,24300006
62,cumulativeFunding,2024,24300006
62,cumulativeFunding,2025,24300006
62,cumulativeFunding,,24300006
64,cumulativeFunding,2018,500000
64,cumulativeFunding,2019,500000
64,cumulativeFunding,2020,800000
64,cumulativeFunding,2021,800000
64,cumulativeFunding,2022,800000
64,cumulativeFunding,2023,800000
64,cumulativeFunding,2024,800000
64,cumulativeFunding,2025,800000
64,cumulativeFunding,,800000
65,cumulativeFunding,2018,
65,cumulativeFunding,2019,80000000
65,cumulativeFunding,2020,80000000
65,cumulativeFunding,2021,80000000
65,cumulativeFunding,2022,80000000
65,cumulativeFunding,2023,80000000
65,cumulativeFunding,2024,80000000
65,cumulativeFunding,2025,80000000
65,cumulativeFunding,,80000000
66,cumulativeFunding,2007,750000
66,cumulativeFunding,2008,750000
66,cumulativeFunding,2009,1950000
66,cumulativeFunding,2010,1950000
66,cumulativeFunding,2011,1950000
66,cumulativeFunding,2012,1950000
66,cumulativeFunding,2013,1950000
66,cumulativeFunding,2014,1950000
66,cumulativeFunding,2015,1950000
66,cumulativeFunding,2016,1950000
66,cumulativeFunding,2017,1950000
66,cumulativeFunding,2018,1950000
66,cumulativeFunding,2019,1950000
66,cumulativeFunding,2020,1950000
66,cumulativeFunding,2021,1950000
66,cumulativeFunding,2022,1950000
66,cumulativeFunding,2023,1950000
66,cumulativeFunding,2024,1950000
66,cumulativeFunding,2025,1950000
66,cumulativeFunding,,1950000
67,cumulativeFunding,2017,950000
67,cumulativeFunding,2018,950000
67,cumulativeFunding,2019,1950000
67,cumulativeFunding,2020,1950000
67,cumulativeFunding,2021,1950000
67,cumulativeFunding,2022,1950000
67,cumulativeFunding,2023,1950000
67,cumulativeFunding,2024,1950000
67,cumulativeFunding,2025,1950000
67,cumulativeFunding,,1950000
69,cumulativeFunding,2015,500000
