company_id,row_type,investor_id,investor_name,investor_position
6443,company_investor,11602,Roy Peleg,Founder & CEO
6443,company_investor,17589,Maoz Aviv,Chief Agronomist
6443,company_investor,17590,Omri  Krikeb,Agronomist
6443,company_investor,17591,Fiona Ahronson,Project Manager
6444,company_investor,7593,Danny Cohen,CEO
6444,company_investor,17592,Itzhak Itzhak,CTO
6445,company_investor,17593,David Benizri,Co-founder & CEO
6445,company_investor,17594,Gabriel Deutsch,Co-founder & CTO
6445,company_investor,17595,Emanuel Nafcha,Co-founder & VP of Engineering
6446,company_investor,8780,Arturo Geifman,Co-founder & CEO
6446,company_investor,8778,Yohai Ben Zikri,Co-founder & CTO
6447,company_investor,2303,Avner Galili,Head of Marketing
6447,company_investor,2304,Ofer Juran,General Manager
6448,company_investor,17596,Amir Panush,CEO
6448,company_investor,17597,Yaniv Arieli,CFO
6448,company_investor,17598,Michael  Boukaya,COO
6448,company_investor,17599,Erez  Bar-Niv,CTO
6448,company_investor,17600,Dana Maor,Executive Global VP Human Resources
6448,company_investor,17601,Moshe Sheier,VP Marketing
6449,company_investor,17602,Raanan Shelach,Co-founder & CEO
6450,company_investor,17603,Gal Saar,CEO
6450,company_investor,17604,Effi Tahar,VP Engineering
6451,company_investor,17605,Amir London,CEO
6449,company_investor,9128,Yehuda Borenstein,Co-founder
6449,company_investor,17606,Alina Amel,CTO
6449,company_investor,17607,Shada Ammar,Electrochemical Researcher
6451,company_investor,17608,David Tsur,Co-founder & Owner
6451,company_investor,17609,Ariella  Raban,VP HR
6451,company_investor,17610,Hanni Neheman,VP Sales & Marketing
6452,company_investor,17611,Shimshon Jacobi,Co-founder
6453,company_investor,17612,Eytan Hattem,Founder
6453,company_investor,17613,Julia Perez - Zrihen,Academy Manager & CX Consultant
6454,company_investor,17614,Michal Beressi Golomb,CEO
6455,company_investor,17615,Yuri Tsitrinbaum,Founder
6454,company_investor,17616,Hanne  Volpin,"Co-founder, CTO & CEO"
